name,url,address,airport,distance,unit,rating,restname,mon,tue,wed,thur,fri,sat,sun
L'Empire Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d647228-Reviews-L_Empire_Paris-Paris_Ile_de_France.html,"48 rue de l Arbre Sec, 75001 Paris France",Paris - Orly Airport,9.0,mi,4.0,L'Empire Café,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown
Novotel Paris Centre Bercy,https://www.tripadvisor.com/Hotel_Review-g187147-d197487-Reviews-Novotel_Paris_Centre_Bercy-Paris_Ile_de_France.html,"85 rue de Bercy, 75012 Paris France",Paris - Orly Airport,8.0,mi,4.0,Le Paris Bercy,"Monday 12:00 - 14:30, 18:30 - 22:30","Tuesday 12:00 - 14:30, 18:30 - 22:30","Wednesday 12:00 - 14:30, 18:30 - 22:30","Thursday 12:00 - 14:30, 18:30 - 22:30","Friday 12:00 - 14:30, 18:30 - 22:30","Saturday 12:00 - 14:30, 18:30 - 22:30","Sunday 12:00 - 14:30, 18:30 - 22:30"
La Demeure Montaigne,https://www.tripadvisor.com/Hotel_Review-g187147-d261990-Reviews-La_Demeure_Montaigne-Paris_Ile_de_France.html,"18 rue Clement Marot, 75008 Paris France",Paris - Orly Airport,10.0,mi,5.0,L'Envolée,Monday 7AM-9:30PM,Tuesday 7AM-9:30PM,Wednesday 7AM-9:30PM,Thursday 7AM-9:30PM,Friday 7AM-9:30PM,Saturday 7AM-9:30PM,Sunday Closed
Hotel Montalembert,https://www.tripadvisor.com/Hotel_Review-g187147-d188736-Reviews-Hotel_Montalembert-Paris_Ile_de_France.html,"3 rue Montalembert, 75007 Paris France",Paris - Orly Airport,9.0,mi,5.0,La Brasserie Montalembert,Monday 07:30 - 22:00,Tuesday 07:30 - 22:00,Wednesday 07:30 - 22:00,Thursday 07:30 - 22:00,Friday 07:30 - 22:00,Saturday 07:30 - 22:00,Sunday - Closed
Le Grand Quartier,https://www.tripadvisor.com/Hotel_Review-g187147-d19101450-Reviews-Le_Grand_Quartier-Paris_Ile_de_France.html,"15 rue de Nancy, 75010 Paris France",Paris - Orly Airport,10.0,mi,4.0,BABINES,Monday - Closed,Tuesday 19:30 - 22:30,Wednesday 19:30 - 22:30,Thursday 19:30 - 22:30,Friday 19:30 - 22:30,Saturday 19:30 - 22:30,Sunday - Closed
Sofitel Le Scribe Paris Opera,https://www.tripadvisor.com/Hotel_Review-g187147-d197577-Reviews-Sofitel_Le_Scribe_Paris_Opera-Paris_Ile_de_France.html,"1 rue Scribe, 75009 Paris France",Paris - Orly Airport,10.0,mi,5.0,Rivages,"Monday 12:00 - 14:00, 19:00 - 22:00","Tuesday 12:00 - 14:00, 19:00 - 22:00","Wednesday 12:00 - 14:00, 19:00 - 22:00","Thursday 12:00 - 14:00, 19:00 - 22:00","Friday 12:00 - 14:00, 19:00 - 22:00",Saturday 19:00 - 22:00,Sunday 12:00 - 15:00
"Maison Souquet, Hotel & Spa",https://www.tripadvisor.com/Hotel_Review-g187147-d7182695-Reviews-Maison_Souquet_Hotel_Spa-Paris_Ile_de_France.html,"10 rue de Bruxelles, 75009 Paris France",Paris - Orly Airport,11.0,mi,5.0,Restaurant,"Monday 07:00 - 11:00, 12:00 - 15:00, 19:00 - 00:00","Tuesday 07:00 - 11:00, 12:00 - 15:00, 19:00 - 00:00","Wednesday 07:00 - 11:00, 12:00 - 15:00, 19:00 - 00:00","Thursday 07:00 - 11:00, 12:00 - 15:00","Friday 07:00 - 11:00, 12:00 - 15:00","Saturday 07:00 - 11:00, 12:00 - 15:00","Sunday 07:00 - 11:00, 12:00 - 16:00, 19:00 - 00:00"
Paris Marriott Champs Elysees Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d197935-Reviews-Paris_Marriott_Champs_Elysees_Hotel-Paris_Ile_de_France.html,"70 Avenue des Champs-Elysees, 75008 Paris France",Paris - Orly Airport,10.0,mi,5.0,Restaurant du Marriott,Monday - Closed,Tuesday - Closed,Wednesday - Closed,Thursday - Closed,Friday - Closed,Saturday - Closed,Sunday 13:00 - 15:00
Hotel Le Cardinal,https://www.tripadvisor.com/Hotel_Review-g187147-d239631-Reviews-Hotel_Le_Cardinal-Paris_Ile_de_France.html,"3 rue du Cardinal Mercier, 75009 Paris France",Paris - Orly Airport,11.0,mi,3.0,Le Cardinal,Monday 12PM-2PM6:45PM-9:30PM,Tuesday 12PM-2PM6:45PM-9:30PM,Wednesday 12PM-2PM6:45PM-9:30PM,Thursday 12PM-2PM6:45PM-9:30PM,Friday 12PM-2PM6:45PM-9:30PM,Saturday Closed,Sunday Closed
Grand Pigalle Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d1033073-Reviews-Grand_Pigalle_Hotel-Paris_Ile_de_France.html,"29 rue Victor Masse, 75009 Paris France",Paris - Orly Airport,11.0,mi,4.5,Frenchie Pigalle,Monday 12PM-2PM6:30PM-11PM,Tuesday 12PM-2PM6:30PM-11PM,Wednesday 12PM-2PM6:30PM-11PM,Thursday 12PM-2PM6:30PM-11PM,Friday 12PM-2PM6:30PM-11PM,Saturday 12PM-2:30PM6:30PM-11PM,Sunday 12PM-2:30PM6:30PM-11PM
